game_date,inning,outs_when_up,pitch_number,pitch_name,p_throws,description,events,launch_speed,launch_angle,hit_distance_sc,launch_speed_angle,zone,release_speed,release_spin_rate,injury
2023-05-09,1,1,4,Slider,R,hit_into_play,field_out,109.3,46,331,6,5,85.7,2149,Pre
2023-05-09,3,1,4,Sinker,R,hit_into_play,fielders_choice,82.7,4,66,2,13,90.3,2047,Pre
2023-05-09,5,0,6,Sinker,R,hit_into_play,field_out,87.1,-14,10,2,13,89.9,2058,Pre
2023-05-09,8,0,1,4-Seam Fastball,R,hit_into_play,sac_fly,81.3,26,255,3,6,91,1968,Pre
2023-05-10,5,0,4,4-Seam Fastball,L,hit_into_play,double,115.2,13,318,6,8,93.5,2362,Pre
2023-05-10,5,2,5,4-Seam Fastball,R,hit_into_play,single,103.5,14,244,4,9,95.8,2433,Pre
2023-05-10,8,0,3,4-Seam Fastball,L,hit_into_play,single,80.6,36,251,3,4,91.3,2332,Pre
2023-05-11,9,1,3,Sinker,R,hit_into_play,field_out,109.3,-2,33,4,9,95.3,2152,Pre
2023-05-12,1,1,5,Sweeper,R,hit_into_play,field_out,69.7,70,106,3,9,75.6,2620,Pre
2023-05-12,6,0,4,Changeup,L,hit_into_play,grounded_into_double_play,78.8,2,42,2,7,83.1,1804,Pre
2023-05-13,3,1,1,Curveball,L,hit_into_play,field_out,106.7,38,381,6,7,84,2543,Pre
2023-05-13,5,0,2,Slider,L,hit_into_play,home_run,106,28,382,6,7,88.6,2342,Pre
2023-05-13,6,2,4,Slider,R,hit_into_play,home_run,113.5,25,439,6,4,79.4,2079,Pre
2023-05-14,1,1,1,Cutter,R,hit_into_play,field_out,81,42,246,3,8,89.1,2299,Pre
2023-05-14,7,2,4,Sinker,R,hit_into_play,single,102.9,5,102,4,5,91.7,2321,Pre
2023-05-14,9,2,1,Sweeper,R,hit_into_play,field_out,111.9,38,398,6,5,79.5,2696,Pre
2023-05-15,1,1,4,4-Seam Fastball,R,hit_into_play,home_run,102,26,386,6,2,94.1,2326,Pre
2023-05-15,8,2,6,Slider,R,hit_into_play,home_run,114.9,27,462,6,8,83.7,2445,Pre
2023-05-16,1,1,1,4-Seam Fastball,R,hit_into_play,field_out,93.1,-4,26,2,5,96.3,2208,Pre
2023-05-16,8,1,2,Slider,R,hit_into_play,home_run,113.1,31,448,6,5,85.9,2406,Pre
2023-05-17,6,0,1,Sinker,R,hit_into_play,field_out,90.6,-26,4,2,8,93,2046,Pre
2023-05-18,1,0,3,Sinker,R,hit_into_play,home_run,109.6,33,430,6,5,93,2098,Pre
2023-05-18,3,1,1,Sinker,R,hit_into_play,field_out,94.7,24,311,5,13,94.4,2054,Pre
2023-05-18,6,0,3,Sinker,R,hit_into_play,double,110.3,25,406,6,7,93.3,2076,Pre
2023-05-19,1,1,5,4-Seam Fastball,R,hit_into_play,home_run,109.6,29,431,6,2,92.8,2041,Pre
2023-05-19,9,2,2,Sweeper,R,hit_into_play,field_out,93.4,66,141,3,1,81.3,2594,Pre
2023-05-20,1,0,7,4-Seam Fastball,R,hit_into_play,single,89.9,7,106,4,4,94.9,2452,Pre
2023-05-20,3,2,2,4-Seam Fastball,R,hit_into_play,single,115.1,17,353,6,5,94.3,2495,Pre
2023-05-20,5,1,4,Slider,R,hit_into_play,double,103.9,21,334,6,5,86.2,2233,Pre
2023-05-20,10,1,3,Sweeper,R,hit_into_play,single,85.8,11,146,4,6,85.7,2564,Pre
2023-05-23,3,1,3,Slider,R,hit_into_play,field_out,91.4,56,210,3,5,86,2581,Pre
2023-05-23,5,0,5,Slider,R,hit_into_play,field_out,86,22,279,3,9,89,2666,Pre
2023-05-23,7,0,3,Sinker,R,hit_into_play,field_out,106.6,-2,32,4,7,95,1927,Pre
2023-05-23,9,1,3,Split-Finger,R,hit_into_play,home_run,102,35,403,6,5,87.8,1002,Pre
2023-05-24,1,1,7,Changeup,R,hit_into_play,field_out,79.5,65,122,3,8,86.1,2417,Pre
2023-05-24,3,2,2,Curveball,R,hit_into_play,field_out,101.7,38,361,5,6,74,2589,Pre
2023-05-25,4,0,1,Sinker,R,hit_into_play,field_out,95.6,-18,6,2,8,92.4,2130,Pre
2023-05-25,6,0,1,Sinker,R,hit_into_play,field_out,101.6,21,338,5,2,91,2217,Pre
2023-05-26,6,1,1,Changeup,R,hit_into_play,double,92.3,26,305,3,5,87.8,2199,Pre
2023-05-27,1,1,4,Sinker,R,hit_into_play,single,114.6,20,310,6,2,91.2,1961,Pre
2023-05-27,6,2,1,Sinker,R,hit_into_play,field_out,104.4,42,362,5,13,92.8,2090,Pre
2023-05-27,9,0,4,Curveball,R,hit_into_play,grounded_into_double_play,100.9,3,71,4,5,83.4,2563,Pre
2023-05-28,1,1,3,Cutter,R,hit_into_play,home_run,111.1,44,399,6,5,91.6,2685,Pre
2023-05-28,3,0,2,Sinker,R,hit_into_play,single,110.4,5,103,4,7,96,2298,Pre
2023-05-29,1,1,1,4-Seam Fastball,R,hit_into_play,field_out,80.7,71,93,3,5,95.4,2522,Pre
2023-05-29,3,0,6,4-Seam Fastball,R,hit_into_play,home_run,116.9,22,378,6,5,93.8,2729,Pre
2023-05-29,5,0,4,Sweeper,R,hit_into_play,double,104.7,24,372,6,2,80.7,2201,Pre
2023-05-29,6,1,3,Changeup,R,hit_into_play,home_run,95.8,31,378,5,4,88.2,2028,Pre
2023-05-30,7,0,1,Sinker,R,hit_into_play,home_run,106.3,38,390,6,1,89.5,1993,Pre
2023-05-31,1,1,5,4-Seam Fastball,R,hit_into_play,field_out,111.2,4,90,4,5,97.9,2356,Pre
2023-05-31,7,0,7,Knuckle Curve,R,hit_into_play,field_out,109.2,43,363,6,5,82,2214,Pre
2023-06-02,1,0,1,4-Seam Fastball,L,hit_into_play,grounded_into_double_play,92.9,1,55,2,6,92.2,2414,Pre
2023-06-02,8,2,3,Sweeper,R,hit_into_play,field_out,78,14,150,4,9,82.8,2703,Pre
2023-06-03,1,1,4,Slider,R,hit_into_play,field_out,91.2,34,304,3,5,87.8,2359,Pre
2023-06-03,6,0,3,Sweeper,R,hit_into_play,home_run,113.7,20,360,6,8,82.7,2584,Pre
2023-07-28,1,1,1,4-Seam Fastball,R,hit_into_play,field_out,104.4,16,301,5,8,99.1,2347,Post
2023-07-29,1,1,2,Slider,R,hit_into_play,field_out,108.2,42,365,6,5,82.8,2503,Post
2023-07-29,3,1,3,4-Seam Fastball,R,hit_into_play,home_run,111.6,25,442,6,3,91.3,2371,Post
2023-07-29,4,2,1,4-Seam Fastball,R,hit_into_play,single,104.9,7,125,4,5,95.1,2232,Post
2023-07-29,6,1,4,Changeup,L,hit_into_play,single,84.3,24,273,3,9,85.6,1677,Post
2023-08-01,1,1,3,Sinker,R,hit_into_play,single,115.5,8,181,6,5,93.2,2084,Post
2023-08-01,4,0,2,Curveball,R,hit_into_play,field_out,66.3,-30,3,2,14,77.8,2486,Post
2023-08-01,6,2,4,Cutter,R,hit_into_play,field_out,101.2,35,379,5,5,87.1,2161,Post
2023-08-01,9,1,1,Slider,L,hit_into_play,field_out,109.7,46,330,6,4,81.8,2443,Post
2023-08-02,1,1,8,4-Seam Fastball,L,hit_into_play,field_out,108.5,21,399,6,5,99.6,2197,Post
2023-08-02,3,1,5,Slider,L,hit_into_play,field_out,100.9,21,344,5,5,92.6,2108,Post
2023-08-02,5,2,1,Cutter,R,hit_into_play,single,91.3,17,245,4,5,88.4,2388,Post
2023-08-02,7,1,6,Sinker,R,hit_into_play,field_out,107.5,8,160,4,13,91.2,2227,Post
2023-08-03,3,0,3,4-Seam Fastball,R,hit_into_play,field_out,79.2,52,209,3,6,92.8,2213,Post
2023-08-05,1,1,4,Slider,R,hit_into_play,field_out,90.3,51,245,3,8,87.1,2429,Post
2023-08-05,3,0,1,4-Seam Fastball,R,hit_into_play,field_out,105,47,319,3,6,93.7,2464,Post
2023-08-05,5,1,6,Changeup,R,hit_into_play,field_out,105.4,26,399,6,5,86.6,1829,Post
2023-08-05,7,2,2,4-Seam Fastball,R,hit_into_play,field_out,102.7,69,133,3,1,93.6,2502,Post
2023-08-06,3,2,4,Sinker,R,hit_into_play,field_out,88.5,-14,12,2,4,95.3,2237,Post
2023-08-07,1,1,2,Knuckle Curve,R,hit_into_play,field_out,79.4,57,188,3,9,81.3,2760,Post
2023-08-07,7,0,4,Slider,R,hit_into_play,single,94,5,88,4,9,86.2,2428,Post
2023-08-07,9,0,3,Sweeper,R,hit_into_play,double,95.4,14,207,4,8,84.3,2776,Post
2023-08-08,8,2,8,Changeup,L,hit_into_play,home_run,109.1,39,410,6,6,86.2,1748,Post
2023-08-09,1,0,2,4-Seam Fastball,R,hit_into_play,single,97.5,14,244,4,5,97.2,2204,Post
2023-08-09,6,1,1,4-Seam Fastball,R,hit_into_play,field_out,100.4,42,314,3,5,95,2231,Post
2023-08-09,8,0,5,Slider,R,hit_into_play,force_out,79.2,15,164,4,6,88.6,2504,Post
2023-08-11,3,0,5,4-Seam Fastball,L,hit_into_play,home_run,113.8,26,464,6,2,96.7,2223,Post
2023-08-12,1,1,1,4-Seam Fastball,R,hit_into_play,single,108.7,4,80,4,5,98.5,2298,Post
2023-08-12,3,2,1,Sinker,R,hit_into_play,force_out,97,-14,11,2,4,98.7,2297,Post
