aftershock,mainshock
2.86,2.6
3.21,2.67
3.31,2.98
2.39,2.32
2.93,2.44
4.01,3.42
3.86,3.93
2.93,2.39
2.27,2.29
3.31,2.9
2.78,2.3
3.62,2.89
2.7,2.24
4.42,4.2
2.68,2.28
4.03,3.66
2.48,2.43
3.04,2.57
2.48,2.69
4.87,3.68
3.54,3.32
2.74,2.96
2.78,2.47
3.2,2.86
2.43,2.69
2.31,2.41
2.27,2.25
3.17,2.93
2.59,2.48
2.23,2.2
2.86,2.3
3.61,3.75
4.45,3.85
2.52,2.7
3.76,3.28
5.26,4.32
2.41,2.6
3.42,3.52
2.63,2.63
6.37,5.2
3.22,3.12
2.45,2.49
2.36,2.5
2.91,2.71
5.07,4.36
2.92,2.85
2.92,2.54
3.25,2.86
3.76,3.21
3.3,3.31
2.78,2.23
5.9,4.5
4.23,3.26
2.87,2.5
2.41,2.48
2.33,2.55
3.22,2.59
3.08,2.8
2.83,2.6
3.02,2.71
2.88,2.68
2.48,2.63
4.37,3.49
3.16,2.65
2.96,2.33
2.85,2.21
2.53,2.37
3.03,2.9
4.37,3.35
2.42,2.26
4.21,3.3
3.05,2.38
6.24,4.59
2.44,2.28
3.04,3.23
2.8,2.72
3.15,2.69
2.65,2.45
2.6,2.67
4.25,3.28
7.56,5.4
2.43,2.45
3.67,3.64
3.43,3.1
4.12,4.1
2.86,2.55
3.52,3.07
4.07,3.92
5.41,3.98
3.06,2.74
2.4,2.21
7.07,4.78
2.91,2.75
2.93,2.29
4.37,3.4
2.77,3.02
3.27,3.14
3.27,2.72
4.01,3.25
3.01,2.88
2.8,2.49
2.49,2.58
2.22,2.38
2.36,2.44
2.98,3.01
2.33,2.23
2.25,2.24
2.23,2.43
3.79,3.19
2.78,2.53
